PassengerId,Transported,Probabilidad
0013_01,True,0.5686
0018_01,False,0.0787
0019_01,True,0.8997
0021_01,True,0.8421
0023_01,False,0.435
0027_01,True,0.5644
0029_01,True,0.9688
0032_01,True,0.9276
0032_02,True,0.9036
0033_01,True,0.5281
0037_01,False,0.311
0040_01,False,0.113
0040_02,True,0.5603
0042_01,True,0.6092
0046_01,False,0.0778
0046_02,False,0.1625
0046_03,False,0.1522
0047_01,True,0.9365
0047_02,True,0.6157
0047_03,False,0.045
0048_01,True,0.5551
0049_01,False,0.1022
0054_01,True,0.9858
0054_02,True,0.7007
0054_03,False,0.2645
0055_01,False,0.1494
0057_01,True,0.7327
0059_01,True,0.788
0060_01,False,0.4962
0063_01,True,0.5952
0065_01,True,0.5686
0075_01,False,0.2563
0079_01,True,0.5782
0080_01,True,0.5473
0083_01,False,0.197
0087_01,False,0.1569
0089_01,True,0.9026
0093_01,True,0.7735
0094_01,True,0.5705
0094_02,False,0.1081
0095_01,True,0.7414
0096_01,False,0.4421
0100_01,True,0.7031
0100_02,True,0.6932
0104_01,False,0.0894
0106_01,True,0.7553
0109_01,False,0.1318
0117_01,False,0.2816
0118_01,True,0.6266
0121_01,False,0.1047
0124_01,True,0.5736
0125_01,True,0.9844
0125_02,False,0.2321
0130_01,True,0.5708
0131_01,False,0.3844
0132_01,True,0.7508
0135_01,False,0.2154
0137_01,True,0.5964
0142_01,True,0.907
0142_02,False,0.2385
0142_03,True,0.9384
0143_01,True,0.51
0145_01,False,0.2522
0150_01,True,0.98
0150_02,True,0.9796
0153_01,False,0.315
0154_01,True,0.6107
0155_01,False,0.0998
0156_01,True,0.6298
0157_01,False,0.1026
0158_01,False,0.2782
0158_02,True,0.6394
0159_01,False,0.0829
0161_01,False,0.1875
0162_01,True,0.9231
0166_01,True,0.648
0168_01,True,0.975
0175_01,True,0.629
0175_02,False,0.487
0175_03,True,0.6323
0175_04,True,0.5546
0175_05,False,0.4862
0176_01,False,0.1794
0180_01,False,0.2163
0184_01,False,0.4721
0185_01,True,0.7674
0187_01,True,0.9274
0191_01,False,0.1616
0194_01,True,0.9665
0194_02,True,0.984
0194_03,False,0.0228
0204_01,False,0.1913
0208_01,False,0.4048
0209_01,False,0.0626
0214_01,False,0.1314
0214_02,False,0.0806
0215_01,True,0.6068
0218_01,False,0.1939
0226_01,True,0.5955
0227_01,False,0.461
0228_01,True,0.9809
0228_02,True,0.7519
0228_03,True,0.981
0228_04,False,0.0562
0230_01,True,0.7881
0230_02,False,0.1194
0235_01,True,0.5739
0236_01,True,0.8897
0238_01,False,0.1099
0247_01,True,0.983
0247_02,True,0.9796
0249_01,False,0.2188
0256_01,True,0.6761
0259_01,True,0.7625
0262_01,False,0.1048
0264_01,True,0.9791
0264_02,True,0.983
0264_03,False,0.0677
0266_01,False,0.1992
0266_02,False,0.1392
0268_01,False,0.0639
0268_02,False,0.1407
0271_01,False,0.2404
0272_01,False,0.0868
0273_01,True,0.7837
0273_02,True,0.9284
0273_03,False,0.0986
0274_01,False,0.1131
0274_02,True,0.6625
0276_01,False,0.1003
0276_02,True,0.9805
0279_01,False,0.173
0280_01,False,0.48
0284_01,True,0.6088
0292_01,False,0.158
0293_01,True,0.9404
0295_01,False,0.4371
0296_01,False,0.2043
0299_01,False,0.1843
0300_01,False,0.2919
0308_01,True,0.644
0311_01,False,0.399
0312_01,True,0.6006
0317_01,False,0.1052
0318_01,True,0.6061
0319_01,False,0.2021
0319_02,True,0.9499
0323_01,True,0.8162
0325_01,True,0.5506
0328_01,True,0.6786
0329_01,True,0.9692
0332_01,True,0.6207
0335_01,False,0.3277
0339_01,False,0.2293
0339_02,False,0.2552
0339_03,True,0.5101
0339_04,True,0.7493
0339_05,True,0.7139
0339_06,False,0.1931
0339_07,False,0.2051
0339_08,False,0.1201
0342_01,True,0.53
0342_02,True,0.6185
0344_01,True,0.9822
0344_02,False,0.2588
0349_01,False,0.0512
0349_02,True,0.9315
0349_03,False,0.2061
0349_04,True,0.9677
0349_05,False,0.2801
0349_06,False,0.268
0351_01,True,0.8813
0353_01,True,0.6556
0353_02,True,0.6506
0354_01,True,0.5353
0362_01,True,0.7815
0363_01,True,0.5455
0363_02,True,0.6673
0363_03,True,0.7135
0364_01,True,0.5703
0364_02,False,0.0797
0366_01,True,0.6069
0367_01,False,0.1072
0374_01,False,0.189
0374_02,False,0.0658
0386_01,False,0.0333
0390_01,True,0.588
0393_01,False,0.0932
0394_01,True,0.7028
0399_01,True,0.6415
0400_01,True,0.96
0404_01,True,0.852
0406_01,False,0.2193
0414_01,False,0.0708
0416_01,False,0.2826
0418_01,False,0.1831
0419_01,True,0.504
0419_02,True,0.708
0419_03,True,0.543
0420_01,False,0.1643
0421_01,True,0.7994
0422_01,False,0.2254
0424_01,False,0.0999
0426_01,False,0.0718
0440_01,False,0.2725
0443_01,False,0.4818
0450_01,False,0.2175
0451_01,True,0.9792
0455_01,False,0.2434
0464_01,True,0.602
0467_01,True,0.8714
0467_02,True,0.82
0467_03,True,0.9381
0467_04,True,0.7629
0469_01,False,0.3081
0473_01,False,0.305
0478_01,False,0.0219
0478_02,True,0.9855
0479_01,True,0.9791
0483_01,True,0.9754
0483_02,True,0.6296
0484_01,True,0.9272
0486_01,True,0.5844
0489_01,True,0.6164
0489_02,True,0.927
0491_01,True,0.5984
0492_01,False,0.1591
0493_01,True,0.5708
0494_01,True,0.984
0494_02,False,0.4726
0495_01,True,0.5812
0495_02,True,0.63
0495_03,True,0.6055
0495_04,False,0.4096
0495_05,False,0.1034
0495_06,False,0.4357
0496_01,True,0.6777
0496_02,True,0.6899
0497_01,True,0.9017
0505_01,False,0.2374
0508_01,False,0.2738
0509_01,True,0.632
0511_01,False,0.1124
0514_01,True,0.6563
0524_01,True,0.7734
0526_01,True,0.5853
0530_01,False,0.2165
0530_02,False,0.1107
0530_03,True,0.986
0532_01,False,0.1788
0532_02,True,0.9657
0535_01,False,0.2435
0536_01,False,0.4092
0536_02,False,0.1028
0541_01,True,0.9712
0543_01,True,0.5926
0544_01,True,0.9245
0554_01,False,0.1155
0557_01,True,0.9236
0557_02,True,0.9225
0558_01,True,0.6018
0562_01,False,0.4668
0562_02,True,0.9505
0574_01,False,0.0202
0578_01,True,0.6496
0578_02,False,0.4866
0584_01,True,0.6344
0584_02,False,0.1171
0592_01,True,0.5635
0595_01,True,0.5887
0601_01,False,0.4637
0604_01,True,0.5268
0605_01,False,0.1958
0606_01,True,0.6498
0613_01,True,0.979
0613_02,True,0.9788
0616_01,False,0.1788
0617_01,False,0.2148
0620_01,False,0.0685
0620_02,True,0.6398
0620_03,True,0.6772
0621_01,False,0.1839
0622_01,False,0.0583
0624_01,True,0.7462
0625_01,True,0.9411
0625_02,True,0.916
0625_03,True,0.9369
0626_01,True,0.9841
0626_02,True,0.9759
