PassengerId,Transported,Probabilidad
0013_01,True,0.5483
0018_01,False,0.0141
0019_01,True,0.9881
0021_01,True,0.9888
0023_01,True,0.5553
0027_01,True,0.6216
0029_01,True,0.9771
0032_01,True,0.9769
0032_02,True,0.9865
0033_01,True,0.5194
0037_01,False,0.1928
0040_01,False,0.1588
0040_02,True,0.5413
0042_01,True,0.5786
0046_01,False,0.0422
0046_02,False,0.1597
0046_03,False,0.2177
0047_01,True,0.987
0047_02,True,0.7377
0047_03,False,0.0127
0048_01,True,0.5982
0049_01,False,0.0529
0054_01,True,0.9748
0054_02,True,0.7763
0054_03,False,0.267
0055_01,False,0.0772
0057_01,True,0.939
0059_01,True,0.6659
0060_01,True,0.5837
0063_01,True,0.567
0065_01,True,0.5483
0075_01,False,0.1076
0079_01,False,0.4744
0080_01,False,0.3973
0083_01,False,0.0903
0087_01,False,0.105
0089_01,True,0.9711
0093_01,True,0.6476
0094_01,False,0.4457
0094_02,False,0.1714
0095_01,True,0.7004
0096_01,False,0.39
0100_01,True,0.5499
0100_02,True,0.536
0104_01,False,0.1956
0106_01,True,0.8191
0109_01,False,0.1477
0117_01,False,0.1994
0118_01,False,0.4618
0121_01,False,0.111
0124_01,False,0.4618
0125_01,True,0.9785
0125_02,False,0.0311
0130_01,False,0.4925
0131_01,False,0.3227
0132_01,True,0.9113
0135_01,False,0.3688
0137_01,True,0.5483
0142_01,True,0.9826
0142_02,False,0.2529
0142_03,True,0.9656
0143_01,True,0.8948
0145_01,False,0.1158
0150_01,True,0.9675
0150_02,True,0.9743
0153_01,False,0.2444
0154_01,True,0.5052
0155_01,False,0.0902
0156_01,True,0.65
0157_01,False,0.1038
0158_01,False,0.2905
0158_02,True,0.5711
0159_01,False,0.1244
0161_01,False,0.0878
0162_01,True,0.9387
0166_01,True,0.5145
0168_01,True,0.9881
0175_01,True,0.7288
0175_02,False,0.3467
0175_03,True,0.5078
0175_04,False,0.454
0175_05,False,0.2829
0176_01,False,0.1491
0180_01,False,0.2053
0184_01,True,0.5654
0185_01,True,0.8176
0187_01,True,0.9448
0191_01,False,0.1407
0194_01,True,0.9432
0194_02,True,0.9663
0194_03,False,0.0014
0204_01,False,0.0934
0208_01,False,0.2243
0209_01,False,0.0019
0214_01,False,0.0321
0214_02,False,0.0684
0215_01,True,0.5736
0218_01,False,0.1318
0226_01,True,0.9607
0227_01,False,0.4504
0228_01,True,0.9847
0228_02,True,0.9364
0228_03,True,0.9911
0228_04,False,0.0036
0230_01,True,0.7155
0230_02,False,0.2125
0235_01,True,0.5467
0236_01,True,0.9561
0238_01,False,0.0529
0247_01,True,0.9777
0247_02,True,0.9777
0249_01,False,0.0882
